"coded_country","affAnx","affBor","affCalm","affContent","affDepr","affEnerg","affExc","affNerv","affExh","affInsp","affRel","PLRAC19","PLRAEco","disc01","disc02","disc03","jbInsec01","jbInsec02","jbInsec03","jbInsec04","employstatus_1","employstatus_2","employstatus_3","employstatus_4","employstatus_5","employstatus_6","employstatus_7","employstatus_8","employstatus_9","employstatus_10","PFS01","PFS02","PFS03","fail01","fail02","fail03","happy","lifeSat","MLQ","c19NormShould","c19NormDo","c19IsStrict","c19IsPunish","c19IsOrg","trustGovCtry","trustGovState","gender","age","edu","c19ProSo01","c19ProSo02","c19ProSo03","c19ProSo04"
"",2.87820512820513,3.08333333333333,3.06410256410256,2.92307692307692,2.33333333333333,2.78846153846154,2.19871794871795,2.63461538461538,2.71153846153846,2.47435897435897,2.91666666666667,3.74358974358974,4.26282051282051,0.480769230769231,0.647435897435897,-0.237179487179487,-0.217948717948718,0.435897435897436,0.128205128205128,-0.288461538461538,0.198717948717949,0.134615384615385,0.147435897435897,0.0641025641025641,0.0576923076923077,0.102564102564103,0.0512820512820513,0.0256410256410256,0.378205128205128,0.0256410256410256,-0.0128205128205128,0.384615384615385,-0.16025641025641,0.0192307692307692,-0.346153846153846,0.384615384615385,6.1474358974359,4.28846153846154,1.11538461538462,1.46153846153846,1.02564102564103,4.11538461538461,3.79487179487179,3.92307692307692,3,3,1.46153846153846,2.16025641025641,4.60897435897436,0.717948717948718,1.02564102564103,0.544871794871795,0.807692307692308
"Albania",1.5,3,3.5,1.5,1.5,2.5,2.5,2,2,3.5,3,3.5,6,1,1,0,0.5,0,0.5,-0.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,1.5,1,1.5,1,1,8.5,4.5,1,2,1.5,4,3.5,3.5,3.5,2.5,1,3,6,-1,0.5,0.5,0.5
"Algeria",2.94166666666667,2.94166666666667,2.69166666666667,2.71666666666667,2.28333333333333,2.65833333333333,2.11666666666667,2.775,2.325,2.26666666666667,2.325,3.69166666666667,3.9,0.991666666666667,0.95,-0.808333333333333,-0.583333333333333,0.658333333333333,-0.241666666666667,-0.416666666666667,0.225,0.15,0.258333333333333,0.0666666666666667,0.0333333333333333,0.125,0.0166666666666667,0.00833333333333333,0.125,0.0583333333333333,0.075,0.533333333333333,-0.133333333333333,0.25,0.05,0.291666666666667,5.61666666666667,4.19166666666667,1.54166666666667,2.59166666666667,0.991666666666667,3.63333333333333,3.46666666666667,3.21666666666667,3.03333333333333,2.95,1.64166666666667,2.49166666666667,4.825,1.3,1.66666666666667,1.01666666666667,1.34166666666667
"Andorra",1,3,4,3,1,3,3,1,1,3,3,4,4,-1,-1,1,-2,2,-2,-2,0,0,1,0,0,0,0,0,0,0,-1,1,-1,0,-1,0,8,5,1,0,0,3,3,3,3,3,1,4,3,2,2,2,2
"Argentina",2.85476718403548,2.69179600886918,2.93791574279379,2.6119733924612,2.01330376940133,2.29046563192905,2.20509977827051,2.46784922394678,2.27161862527716,2.52328159645233,2.66518847006652,3.52993348115299,4.6330376940133,0.660753880266075,0.952328159645233,-0.347006651884701,-0.310421286031042,0.366962305986696,0.348115299334812,-0.66629711751663,0.223946784922395,0.17960088691796,0.238359201773836,0.135254988913525,0.0465631929046563,0.107538802660754,0.0909090909090909,0.0110864745011086,0.118625277161863,0.0188470066518847,0.195121951219512,0.700665188470067,0.158536585365854,0.057649667405765,-0.155210643015521,0.547671840354767,6.8059866962306,4.21729490022173,0.954545454545455,1.91241685144124,1.990022172949,4.48891352549889,4.12749445676275,4.05432372505543,3.24722838137472,3.10088691796009,1.44789356984479,3.1940133037694,3.83592017738359,0.894678492239468,0.58980044345898,0.573170731707317,1.34368070953437
"Australia",2.58189081225033,2.69640479360852,2.95073235685752,2.69507323568575,2.19440745672437,2.48735019973369,1.94673768308921,2.33555259653795,2.49933422103862,2.25832223701731,2.8375499334221,3.34753661784288,4.26231691078562,0.476697736351531,0.691078561917443,-0.173102529960053,-0.209054593874834,0.279627163781624,0.151797603195739,-0.399467376830892,0.166444740346205,0.210386151797603,0.178428761651132,0.105193075898802,0.0532623169107856,0.0719041278295606,0.175765645805593,0.0426098535286285,0.0692410119840213,0.0119840213049268,0.0505992010652463,0.66844207723036,-0.242343541944075,-0.173102529960053,-0.174434087882823,0.174434087882823,6.14247669773635,3.94673768308921,0.451398135818908,1.98934753661784,1.42876165113182,4.43541944074567,4,4.30226364846871,3.32090545938748,3.24500665778961,1.46870838881491,3.60053262316911,3.98535286284953,0.837549933422104,0.330226364846871,0.431424766977364,1.48601864181092
"Austria",2.60606060606061,1.84848484848485,3.24242424242424,2.93939393939394,2.42424242424242,3.15151515151515,2.3030303030303,2.54545454545455,2.84848484848485,3.15151515151515,2.78787878787879,3.78787878787879,3.63636363636364,0.393939393939394,0.848484848484849,-0.303030303030303,-0.787878787878788,0.787878787878788,-0.393939393939394,-1.33333333333333,0.242424242424242,0.181818181818182,0.454545454545455,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0606060606060606,0,0.0303030303030303,0,-0.424242424242424,0.0303030303030303,-0.96969696969697,-0.939393939393939,-1,0.0303030303030303,7,4.81818181818182,0.96969696969697,2.21212121212121,1.96969696969697,4.72727272727273,4.03030303030303,4.84848484848485,3.39393939393939,3.51515151515152,1.39393939393939,2.48484848484848,5.66666666666667,1.63636363636364,0.575757575757576,1.36363636363636,1.90909090909091
"Azerbaijan",3,2.5,3.5,3.5,1.5,3.5,2.5,2,3,4,3.5,5.5,7,0.5,0.5,-0.5,-1.5,1.5,-1.5,-2,0.5,0,0.5,0,0,0,0,0,0.5,0,0,1,-0.5,-0.5,-1,1.5,7.5,4,1.5,1,-0.5,3.5,5.5,3.5,4,3,1.5,1.5,5.5,2,2,0,0.5
"Bahrain",2.8,1.6,3,2.8,2,3,3,2,2.2,3.4,3,3.2,4.6,0.4,0.4,-0.2,-0.2,0,0.2,-0.6,0.2,0,0,0.4,0,0.2,0,0,0,0,0.4,0,0.6,-1,-1,-0.2,7.4,4.2,1.2,2,0.6,4.2,4,4.2,3.4,2.8,1.8,2.8,4.6,2.2,2,1.6,1.6
"Bangladesh",3.1505376344086,2.95698924731183,2.93548387096774,2.52688172043011,2.78494623655914,2.58064516129032,2.09677419354839,3.04301075268817,2.89247311827957,2.1505376344086,2.44086021505376,4.16129032258065,5.3010752688172,0.741935483870968,1.39784946236559,-1.03225806451613,-0.043010752688172,0.172043010752688,0.440860215053763,-0.473118279569892,0.172043010752688,0.0967741935483871,0.139784946236559,0.182795698924731,0.043010752688172,0.0645161290322581,0.032258064516129,0,0.548387096774194,0.0752688172043011,0.354838709677419,0.881720430107527,0.526881720430108,0.752688172043011,0.225806451612903,0.505376344086022,5.61290322580645,3.91397849462366,0.89247311827957,2.27956989247312,1.32258064516129,3.38709677419355,2.87096774193548,2.86021505376344,2.46236559139785,2.43010752688172,1.64516129032258,1.6989247311828,4.97849462365591,1.34408602150538,1.63440860215054,0.806451612903226,1.10752688172043
